Index,FP32_Value,INT8_Value
24891,0.09489378,6.0
85304,-0.17268491,-11.0
5167,-0.18268053,-12.0
71746,-0.0054352493,-0.0
55693,-0.0068219393,-0.0
52085,-0.18047646,-12.0
13603,-0.17967403,-11.0
2206,-0.017306693,-1.0
39245,0.050105184,3.0
53960,-0.13962193,-9.0
14117,0.034448873,2.0
43189,0.15971841,10.0
96220,0.03832133,2.0
39019,0.09236107,6.0
73719,-0.009444233,-1.0
9949,-0.12363312,-8.0
79850,-0.09744836,-6.0
38877,0.06546308,4.0
57853,0.12794654,8.0
31953,-0.07744253,-5.0
38230,-0.1532952,-10.0
21733,0.0020337172,0.0
3761,-0.21454376,-14.0
6085,0.0019273472,0.0
98949,-0.032491393,-2.0
95149,0.065419756,4.0
8159,0.10086996,6.0
78451,0.11336799,7.0
95348,-0.17254844,-11.0
55054,-0.21038784,-13.0
76195,-0.0929623,-6.0
73438,-0.025481435,-2.0
22824,-0.05556669,-4.0
20034,-0.16215546,-10.0
93576,-0.06727316,-4.0
20918,-0.0173983,-1.0
29707,0.0026567494,0.0
76066,-0.009814476,-1.0
53384,-0.20375133,-13.0
29844,0.01667127,1.0
22103,-0.12603879,-8.0
79843,0.00022842233,0.0
77785,0.02832001,2.0
83835,-0.06372705,-4.0
45869,0.065350614,4.0
35198,-0.029419314,-2.0
60931,0.16856296,11.0
62443,0.15324827,10.0
89676,-0.02597522,-2.0
32873,-0.016219817,-1.0
87490,0.1805766,12.0
24894,0.19060278,12.0
77550,-0.07213139,-5.0
14915,0.032611877,2.0
15446,-0.10811655,-7.0
1823,0.05066754,3.0
34857,-0.14145927,-9.0
61270,0.06182509,4.0
52771,-0.0064265514,-0.0
48928,-0.06257903,-4.0
77267,0.14351705,9.0
1119,-0.025519019,-2.0
28758,0.04477238,3.0
9673,-0.24130495,-15.0
47541,-0.37030756,-24.0
67931,0.046329387,3.0
53213,0.03554933,2.0
67753,-0.08017232,-5.0
87823,0.067818336,4.0
36611,0.35181782,23.0
79588,-0.0136153465,-1.0
54907,0.00016716549,0.0
20071,0.2401334,15.0
25421,-0.14988798,-10.0
36757,0.008055732,1.0
51408,0.022215474,1.0
90011,0.016912377,1.0
62515,-0.06499509,-4.0
68821,-0.03981973,-3.0
81222,0.16237864,10.0
94934,-0.14625919,-9.0
32819,-0.08445544,-5.0
77460,-0.06486599,-4.0
34914,0.050029308,3.0
50982,-0.0028693336,-0.0
15557,0.108831935,7.0
18624,0.30848196,20.0
31647,0.060807656,4.0
68349,-0.018549401,-1.0
55139,0.10373015,7.0
7812,-0.028025215,-2.0
57139,0.084984675,5.0
77772,0.084977485,5.0
96636,-0.056063876,-4.0
44719,0.03399853,2.0
52090,-0.310363,-20.0
3,-0.008861738,-1.0
26804,-0.038216293,-2.0
57641,-0.10449258,-7.0
19889,-0.105131485,-7.0
12293,-0.06828819,-4.0
53654,0.16033728,10.0
61241,0.11164714,7.0
58248,0.11214676,7.0
77390,0.06320702,4.0
6417,-0.12163799,-8.0
6812,-0.12796862,-8.0
40520,0.30920297,20.0
55485,0.035201214,2.0
100146,0.05928727,4.0
59802,0.13407116,9.0
13689,-0.13940752,-9.0
93969,-0.029655011,-2.0
35170,0.001740546,0.0
35184,-0.11515604,-7.0
5930,0.033382572,2.0
4757,0.020958224,1.0
13086,0.069263406,4.0
78485,0.00760795,0.0
6962,0.12750019,8.0
73030,-0.0045234477,-0.0
2856,0.029750314,2.0
18032,0.010406963,1.0
85108,0.10236058,7.0
46636,-0.019367509,-1.0
10120,0.00022300411,0.0
98242,0.18082358,12.0
24583,0.277047,18.0
3591,-0.029199267,-2.0
44917,-0.14135446,-9.0
85963,0.2016206,13.0
89091,-0.14493853,-9.0
33493,0.09604455,6.0
91904,0.06304211,4.0
61828,0.26674867,17.0
64096,0.09252909,6.0
42786,0.124958284,8.0
61388,0.012515142,1.0
93426,0.10079125,6.0
41604,0.011823757,1.0
97842,-0.008643549,-1.0
60070,-0.25121716,-16.0
65389,-0.009635551,-1.0
59001,-0.09803284,-6.0
80875,0.17966695,11.0
48867,0.010082198,1.0
94050,-0.014519079,-1.0
78667,-0.12618326,-8.0
73999,-0.018516414,-1.0
46104,0.032188084,2.0
90542,-0.05795133,-4.0
54303,-0.036783375,-2.0
11833,-0.18288189,-12.0
73357,0.0034746323,0.0
53023,-0.025535703,-2.0
89026,-0.12875968,-8.0
55883,0.020841505,1.0
77205,0.08807817,6.0
93185,0.00034712043,0.0
13134,0.04296756,3.0
95615,0.029603185,2.0
40680,-0.021004671,-1.0
59524,-0.014101091,-1.0
56301,-0.039320145,-3.0
60794,0.11692889,7.0
60422,-0.024157355,-2.0
100118,0.06309034,4.0
78086,-0.03679908,-2.0
12724,0.046567865,3.0
6574,-0.1144056,-7.0
37153,-0.24367657,-16.0
10524,0.34968582,22.0
69223,0.023542784,2.0
70359,-0.034313597,-2.0
21895,-0.009488175,-1.0
49623,0.094408564,6.0
53409,-0.10458747,-7.0
41014,0.17439178,11.0
43055,-0.14259832,-9.0
36400,0.08456829,5.0
31477,0.12434289,8.0
31067,-0.085255556,-5.0
51506,0.022177778,1.0
86354,-0.06864578,-4.0
64675,0.37585014,24.0
60371,-0.03334298,-2.0
65139,-0.061567582,-4.0
2338,-0.086806916,-6.0
91459,-0.17376271,-11.0
7766,0.022988165,1.0
81981,-0.11586689,-7.0
42878,0.041399002,3.0
58289,0.17840528,11.0
24741,-0.12069843,-8.0
4442,0.009689587,1.0
41637,0.0028662386,0.0
70069,0.3313115,21.0
4769,-0.102887414,-7.0
63523,-0.0134743415,-1.0
86781,0.04169027,3.0
38602,0.13917227,9.0
35179,0.117027864,7.0
6111,-0.36752993,-24.0
68646,-0.08717965,-6.0
83605,-0.2571702,-16.0
84820,-0.18305269,-12.0
98669,0.107185796,7.0
96996,-0.026935237,-2.0
57005,0.055008333,4.0
72237,-0.18121918,-12.0
61351,0.061811753,4.0
4619,-0.0074297534,-0.0
32778,0.10913012,7.0
52932,-0.006592817,-0.0
1459,-0.13652897,-9.0
8502,-0.19625355,-13.0
80669,0.01222252,1.0
88890,0.18207672,12.0
86031,-0.07965024,-5.0
37945,0.068201736,4.0
7755,0.033954676,2.0
33612,-0.21922141,-14.0
70215,0.00026701464,0.0
70286,0.09408621,6.0
61212,-0.0052361977,-0.0
99776,0.16466475,11.0
38878,0.17302181,11.0
54840,-0.10242317,-7.0
71422,-0.110618,-7.0
47304,0.016965631,1.0
90991,-0.21744053,-14.0
74154,0.0048186686,0.0
82250,-0.045833092,-3.0
43554,-0.20935515,-13.0
96379,-0.060865384,-4.0
53465,0.05733437,4.0
64067,0.090994604,6.0
68291,-0.035416655,-2.0
9258,0.02798191,2.0
70589,-0.003888969,-0.0
74061,0.012215543,1.0
55239,0.1486145,10.0
62567,-0.0436263,-3.0
22531,0.038776133,2.0
80585,-0.055838916,-4.0
81259,0.1369719,9.0
22715,0.07208038,5.0
65769,-0.1076161,-7.0
42882,-0.04150841,-3.0
17725,0.24120529,15.0
74388,-0.0024488952,-0.0
913,-0.14088759,-9.0
10014,-0.016940925,-1.0
95642,0.042389747,3.0
43897,0.15775834,10.0
95119,-0.18542552,-12.0
44247,0.22923173,15.0
30003,-0.033803903,-2.0
38777,-0.18289669,-12.0
80876,0.14217828,9.0
8022,-0.0072464906,-0.0
28681,-0.106552325,-7.0
618,-0.017876979,-1.0
37823,0.024786387,2.0
6169,-0.2149236,-14.0
53199,-0.019656654,-1.0
92871,-0.17740907,-11.0
77833,-0.058847334,-4.0
77026,0.040191513,3.0
14725,0.024340639,2.0
99209,-0.035390384,-2.0
72780,-0.017211992,-1.0
6832,-0.024400525,-2.0
12678,-0.14725108,-9.0
27368,0.021970771,1.0
6386,-0.037893727,-2.0
59449,0.0862064,6.0
16896,0.20840247,13.0
84234,-0.009746414,-1.0
94181,-0.031611804,-2.0
5266,-0.07928368,-5.0
86739,-0.045310963,-3.0
94254,0.21605794,14.0
61838,-0.030792402,-2.0
49083,0.0321085,2.0
48908,-0.07876216,-5.0
39737,-0.008535346,-1.0
96280,-0.015702378,-1.0
49164,-0.13926053,-9.0
73450,-0.01997901,-1.0
95565,-0.034158964,-2.0
89265,-0.021867761,-1.0
94148,-0.012107668,-1.0
59477,0.0011769094,0.0
67426,-0.010686811,-1.0
19196,0.25298518,16.0
4612,0.023212535,1.0
53922,0.05462867,3.0
37752,-0.07928398,-5.0
27050,0.0050897175,0.0
52015,-0.17116074,-11.0
49803,0.051534507,3.0
63269,0.10235941,7.0
36336,-0.075415276,-5.0
20327,0.015916191,1.0
45637,0.12245718,8.0
37682,-0.09273316,-6.0
38277,-0.014551261,-1.0
63997,-0.046443593,-3.0
50555,0.072895214,5.0
92914,-0.13371108,-9.0
69076,0.011993366,1.0
71112,-0.012737248,-1.0
61896,0.0649336,4.0
85791,-0.08252624,-5.0
93990,0.010244831,1.0
50758,0.14234433,9.0
33500,-0.06351282,-4.0
39853,0.03954122,3.0
36385,0.17140023,11.0
37813,0.10917552,7.0
22630,-0.085392505,-5.0
94507,-0.20125204,-13.0
26559,-0.122947335,-8.0
99848,0.039786443,3.0
50150,0.00027641654,0.0
21349,0.06789385,4.0
43182,-0.02441975,-2.0
29926,0.027563922,2.0
28811,-0.013398498,-1.0
54596,-0.078621306,-5.0
53884,-0.0464196,-3.0
95481,-0.10970653,-7.0
68991,0.025490949,2.0
35454,-0.16614646,-11.0
86564,0.030022303,2.0
49353,0.34805608,22.0
23639,-0.10488402,-7.0
58151,-0.06563258,-4.0
34858,0.029658863,2.0
50930,-0.021323921,-1.0
97610,-0.03323073,-2.0
51958,-0.06505892,-4.0
92130,0.0064847446,0.0
84294,-0.05024892,-3.0
10982,0.0025546723,0.0
42925,0.031195063,2.0
55677,-0.008651147,-1.0
40606,-0.02271913,-1.0
29902,0.011901034,1.0
90346,-0.05213161,-3.0
92560,-0.091161415,-6.0
29611,-0.048671898,-3.0
16615,-0.09673661,-6.0
88021,0.03617226,2.0
47873,-0.072484665,-5.0
69598,0.11591198,7.0
70240,-0.06930472,-4.0
82236,-0.0029268437,-0.0
45974,0.088394396,6.0
26152,-0.07102422,-5.0
67447,0.01135813,1.0
3543,-0.07669599,-5.0
96257,-0.19043021,-12.0
12474,0.011122577,1.0
98400,0.14042418,9.0
45645,-0.058390737,-4.0
23851,0.008009664,1.0
77187,0.00071447686,0.0
42944,-0.04714955,-3.0
83222,-0.0637873,-4.0
9809,0.010463122,1.0
83908,-0.03349917,-2.0
61773,0.16650927,11.0
86347,-0.20738538,-13.0
57463,-0.07580786,-5.0
61789,-0.061698467,-4.0
57046,-0.04123198,-3.0
40997,0.00077372656,0.0
16254,-0.16885409,-11.0
91434,-0.033973273,-2.0
95106,0.117401764,8.0
26114,0.19828261,13.0
30601,0.005285195,0.0
92063,0.034820132,2.0
61150,0.035236567,2.0
36921,0.14304852,9.0
14551,-0.08933697,-6.0
25433,0.097730294,6.0
17412,-0.09890863,-6.0
48450,-0.13933572,-9.0
55797,-0.04588966,-3.0
46588,0.1403577,9.0
51734,-0.14147376,-9.0
94667,-0.067468904,-4.0
10805,-0.1609304,-10.0
67384,0.24709637,16.0
33467,0.0021669979,0.0
73747,-0.019902175,-1.0
88212,-0.03610104,-2.0
61359,0.048187386,3.0
38091,-0.1625262,-10.0
74567,-0.0069704005,-0.0
20738,0.03470803,2.0
11770,-0.03178119,-2.0
81079,-0.018184658,-1.0
97388,-0.030299142,-2.0
2752,-0.019074192,-1.0
59677,-0.22109629,-14.0
34610,-0.057895012,-4.0
32033,0.011104797,1.0
87820,0.028744143,2.0
18099,0.035300836,2.0
24848,0.0042911293,0.0
29447,-0.03832249,-2.0
81797,-0.26118022,-17.0
32962,0.1172232,8.0
16024,0.20338932,13.0
10754,-0.06263758,-4.0
78134,0.030956218,2.0
92097,-0.11453125,-7.0
46901,-0.02930055,-2.0
19394,0.08218959,5.0
28176,-0.04154072,-3.0
22014,0.22544894,14.0
49393,-0.007552343,-0.0
77481,-0.090075575,-6.0
22376,-0.23366527,-15.0
85612,0.11671161,7.0
98771,0.16025831,10.0
3056,-0.021854844,-1.0
44528,-0.09048125,-6.0
57433,0.0040988154,0.0
47283,-0.13359916,-9.0
78219,0.04186814,3.0
17936,-0.06548027,-4.0
38968,0.044730484,3.0
5770,0.014724548,1.0
62398,0.1310834,8.0
99526,0.010480753,1.0
53658,0.02063329,1.0
30381,0.034505695,2.0
86137,0.057740234,4.0
3321,-0.15102842,-10.0
95159,-0.11471294,-7.0
2938,-0.034216154,-2.0
16429,0.040244926,3.0
7061,0.0038447296,0.0
92024,0.020849898,1.0
82616,0.022995062,1.0
37458,-0.2216141,-14.0
25314,0.17718814,11.0
82382,0.22709869,15.0
31249,0.0084905885,1.0
13385,0.021104107,1.0
53916,0.11667476,7.0
24170,0.051486753,3.0
48907,-0.19749977,-13.0
95682,0.09497731,6.0
13014,0.10686309,7.0
20975,0.21219054,14.0
54182,0.015337313,1.0
11551,-0.022365687,-1.0
51153,0.3953739,25.0
95242,0.006107408,0.0
45740,0.13263753,8.0
40033,-0.07478095,-5.0
78240,-0.058667958,-4.0
67094,0.03900205,2.0
20499,-0.08682969,-6.0
81115,0.01208321,1.0
9799,-0.08524793,-5.0
30448,-0.00806992,-1.0
59201,0.21964,14.0
38008,0.015585668,1.0
19987,0.053336985,3.0
13524,0.0012493134,0.0
32326,-0.06756106,-4.0
27573,-0.01639993,-1.0
56688,-0.05250401,-3.0
48868,0.049504317,3.0
19544,0.00020482285,0.0
29096,0.17175375,11.0
95377,-0.20556931,-13.0
36331,0.12883025,8.0
3070,0.020598639,1.0
56134,0.10516338,7.0
6611,-0.10573574,-7.0
51196,-0.044688914,-3.0
89786,-0.017414225,-1.0
64672,0.018405544,1.0
79380,0.017573375,1.0
50245,0.008053942,1.0
86662,0.035835627,2.0
35247,-0.062416557,-4.0
65325,-0.14315845,-9.0
66258,-0.036950856,-2.0
69259,-0.07523706,-5.0
68967,-0.007308722,-0.0
41546,-0.06537078,-4.0
81598,-0.0027669207,-0.0
53191,-0.021849075,-1.0
6185,-0.15298857,-10.0
73562,-0.011390743,-1.0
39505,0.096387886,6.0
65490,-0.19640894,-13.0
19382,-0.08577284,-5.0
34500,-0.030426942,-2.0
7957,-0.055254363,-4.0
80068,-0.03750682,-2.0
92771,-0.05536663,-4.0
63610,-0.18752402,-12.0
68063,-0.15573674,-10.0
75813,0.11216047,7.0
87141,0.23739827,15.0
58286,0.030583581,2.0
87308,-0.056283448,-4.0
74846,-0.0053001335,-0.0
2924,0.012693238,1.0
32300,0.047084477,3.0
33059,0.12682725,8.0
39432,-0.011760784,-1.0
7450,0.008690064,1.0
69912,-0.12711915,-8.0
83250,0.17164722,11.0
20662,0.0137621565,1.0
90513,-0.011203507,-1.0
30240,-0.015196018,-1.0
5512,-0.0074873273,-0.0
81895,-0.34307992,-22.0
76697,0.008377818,1.0
7762,-0.042804558,-3.0
100302,0.21997985,14.0
93625,-0.1993276,-13.0
92514,0.03150659,2.0
41138,-0.02568705,-2.0
50684,-0.07610743,-5.0
77978,0.1648305,11.0
72068,-0.077084266,-5.0
61763,-0.16074504,-10.0
35452,-0.2074937,-13.0
83522,-0.05537673,-4.0
23257,-0.1334463,-9.0
44862,-0.09039112,-6.0
89230,-0.011938908,-1.0
36662,0.04275674,3.0
11485,0.0412869,3.0
45375,-0.15603401,-10.0
16991,-0.045764983,-3.0
41597,0.21237585,14.0
82739,0.04793617,3.0
82487,0.008262752,1.0
47932,0.1661151,11.0
16199,0.062402744,4.0
23481,-0.021491548,-1.0
47606,0.07966034,5.0
28029,-0.04075991,-3.0
63016,-0.050666273,-3.0
84927,-0.053680778,-3.0
84409,0.02581594,2.0
57088,0.01868361,1.0
13849,-0.036742117,-2.0
45333,-0.019308407,-1.0
63274,0.2713311,17.0
43783,0.23660235,15.0
77443,0.15234491,10.0
9374,-0.14839186,-9.0
