time,ch1,ch2,ch3,ch4,ch5,ch1_Spike,ch2_Spike,ch3_Spike,ch4_Spike,ch5_Spike
0.1140019999999999,0.019653,0.021915,-0.015868,0.10735,0.009926,0,0,0,1,0
0.114004,0.0203,0.023857,-0.016192,0.107027,0.008955,0,0,0,1,0
0.114006,0.021594,0.024504,-0.016192,0.106056,0.007013,0,0,0,1,0
0.114008,0.022888,0.023533,-0.015545,0.105086,0.004425,0,0,0,1,0
0.11401,0.024506,0.020297,-0.015221,0.103469,0.002159,0,0,0,1,0
0.1140119999999999,0.025153,0.015444,-0.014251,0.101852,0.000541,0,0,0,1,0
0.1140139999999999,0.025153,0.01059,-0.014251,0.100559,-0.00043,0,0,0,1,0
0.1140159999999999,0.025153,0.006707,-0.013281,0.099589,-0.00043,0,0,0,0,0
0.114018,0.02483,0.004118,-0.012957,0.098942,0.000541,0,0,0,0,0
0.11402,0.023859,0.003795,-0.012634,0.098618,0.000865,0,0,0,0,0
0.114022,0.023859,0.005413,-0.012634,0.097972,0.001188,0,0,0,0,0
0.114024,0.024506,0.008648,-0.012957,0.097325,0.000541,0,0,0,0,0
0.1140259999999999,0.026124,0.012855,-0.013604,0.096031,-0.001401,0,0,0,0,0
0.1140279999999999,0.027418,0.014797,-0.015221,0.094091,-0.004313,0,0,0,0,0
0.1140299999999999,0.030006,0.017062,-0.015868,0.091504,-0.007549,0,0,0,0,0
0.114032,0.031948,0.019327,-0.016515,0.08924,-0.010785,0,0,0,0,0
0.114034,0.032918,0.019974,-0.017486,0.0873,-0.013374,0,0,0,0,0
0.114036,0.033242,0.020297,-0.01878,0.085683,-0.015316,0,0,0,0,0
0.114038,0.033565,0.020297,-0.019103,0.084066,-0.01661,0,0,0,0,0
0.1140399999999999,0.032595,0.01965,-0.019103,0.082126,-0.017581,0,0,0,0,0
0.1140419999999999,0.031301,0.019974,-0.01975,0.080832,-0.017905,0,0,0,0,0
0.1140439999999999,0.030006,0.019003,-0.01975,0.079215,-0.018552,0,0,0,0,0
0.114046,0.029036,0.019327,-0.020073,0.077598,-0.019199,0,0,0,0,0
0.114048,0.027742,0.018356,-0.020397,0.075981,-0.019523,0,0,0,0,0
0.11405,0.026771,0.017709,-0.020397,0.074688,-0.019847,0,0,0,0,0
0.114052,0.026124,0.017062,-0.02072,0.073717,-0.020817,0,0,0,0,0
0.1140539999999999,0.025477,0.01512,-0.020397,0.072101,-0.021465,0,0,0,0,0
0.1140559999999999,0.025477,0.013179,-0.020397,0.070807,-0.022112,0,0,0,0,0
0.1140579999999999,0.025153,0.010266,-0.019103,0.069513,-0.022759,0,0,0,0,0
0.11406,0.024183,0.008001,-0.018133,0.068543,-0.02373,0,0,0,0,0
0.114062,0.023212,0.005413,-0.016839,0.067573,-0.024377,0,0,0,0,0
0.114064,0.022565,0.003147,-0.016192,0.065956,-0.025024,0,0,0,0,0
0.114066,0.022241,0.001853,-0.014898,0.064339,-0.026319,0,0,0,0,0
0.1140679999999999,0.021594,0.00153,-0.014251,0.062399,-0.026966,0,0,0,0,0
0.1140699999999999,0.020947,0.000235,-0.013604,0.059812,-0.028908,0,0,0,0,0
0.1140719999999999,0.0203,-0.00203,-0.01231,0.057548,-0.028908,0,0,0,0,0
0.114074,0.019653,-0.003971,-0.011663,0.055608,-0.029555,0,0,0,0,0
0.114076,0.018682,-0.006237,-0.010693,0.053344,-0.029879,0,0,0,0,0
0.114078,0.017065,-0.008178,-0.009723,0.051727,-0.029555,0,0,0,0,0
0.11408,0.015447,-0.009149,-0.009076,0.049787,-0.028584,0,0,0,0,0
0.1140819999999999,0.014153,-0.009472,-0.008105,0.047846,-0.027613,0,0,0,0,0
0.1140839999999999,0.013182,-0.008825,-0.007782,0.045259,-0.02729,0,0,0,0,0
0.1140859999999999,0.012535,-0.008825,-0.007135,0.042349,-0.026966,0,0,0,0,0
0.114088,0.012859,-0.009149,-0.006488,0.038468,-0.02729,0,0,0,0,0
0.11409,0.013182,-0.008502,-0.005518,0.035881,-0.027613,0,0,0,0,0
0.114092,0.013182,-0.009149,-0.004547,0.032324,-0.028584,0,0,0,0,0
0.114094,0.013182,-0.010767,-0.0039,0.02909,-0.027613,0,0,0,0,0
0.1140959999999999,0.012859,-0.012385,-0.003577,0.026503,-0.026966,0,0,0,0,0
0.1140979999999999,0.011888,-0.013355,-0.002607,0.023915,-0.025348,0,0,0,0,0
0.1141,0.011241,-0.014973,-0.002283,0.021005,-0.023406,0,0,0,0,0
0.114102,0.010917,-0.014973,-0.001636,0.018094,-0.022435,0,0,0,0,0
0.114104,0.010917,-0.014326,-0.000989,0.014537,-0.021788,0,0,0,0,0
0.114106,0.010917,-0.012708,-1.8859e-05,0.010656,-0.021788,0,0,0,0,0
0.114108,0.011564,-0.01109,0.000628,0.006776,-0.022112,0,0,0,0,0
0.1141099999999999,0.012211,-0.010443,0.001275,0.002895,-0.022759,0,0,0,0,0
0.1141119999999999,0.011888,-0.009796,0.002245,-0.000986,-0.023083,0,0,0,0,0
0.114114,0.011888,-0.010443,0.002892,-0.00422,-0.022112,0,0,0,0,0
0.114116,0.011564,-0.011414,0.003539,-0.00713,-0.021141,0,0,0,0,0
0.114118,0.009947,-0.012708,0.003863,-0.010041,-0.018876,0,0,0,0,0
0.11412,0.008976,-0.014003,0.004186,-0.011981,-0.016287,0,0,0,0,0
0.114122,0.007682,-0.014973,0.004186,-0.013921,-0.013698,0,0,0,0,0
0.1141239999999999,0.006711,-0.014973,0.00451,-0.015862,-0.011433,0,0,0,0,0
0.1141259999999999,0.006388,-0.014326,0.00451,-0.017802,-0.009814,0,0,0,0,0
0.114128,0.005741,-0.014973,0.004833,-0.019095,-0.00852,0,0,0,0,0
0.11413,0.005417,-0.015297,0.004186,-0.019742,-0.006902,0,0,0,0,0
0.114132,0.005417,-0.015621,0.00451,-0.020712,-0.005607,0,0,0,0,0
0.114134,0.005093,-0.016268,0.004186,-0.020712,-0.003342,0,0,0,0,0
0.114136,0.004446,-0.017886,0.00451,-0.021359,-0.001724,0,0,0,0,0
0.1141379999999999,0.004123,-0.019827,0.004186,-0.021036,0.000218,0,0,0,0,0
0.1141399999999999,0.003152,-0.021122,0.00451,-0.020712,0.002483,0,0,0,0,0
0.114142,0.002182,-0.021445,0.004833,-0.020066,0.004748,0,0,0,0,0
0.114144,0.001535,-0.020474,0.005157,-0.019419,0.007013,0,0,0,0,0
0.114146,0.001535,-0.018856,0.005157,-0.018772,0.008955,0,0,0,0,0
0.114148,0.001858,-0.01465,0.005157,-0.017802,0.01025,0,0,0,0,0
0.11415,0.002829,-0.009796,0.005803,-0.017802,0.009926,0,0,0,0,0
0.1141519999999999,0.004446,-0.005266,0.005803,-0.017802,0.009602,0,0,0,0,0
0.1141539999999999,0.005741,-0.002677,0.005803,-0.018125,0.008632,0,0,0,0,0
0.114156,0.007035,-8.8422e-05,0.006127,-0.018772,0.007984,0,0,0,0,0
0.114158,0.008005,0.001206,0.006774,-0.018772,0.007984,0,0,0,0,0
0.11416,0.008005,0.001206,0.007097,-0.018125,0.009279,0,0,0,0,0
0.114162,0.007682,0.001206,0.007421,-0.017479,0.010573,0,0,0,0,0
0.114164,0.007682,0.000882,0.007744,-0.016508,0.011868,0,0,0,0,0
0.1141659999999999,0.007358,0.002177,0.007744,-0.015862,0.012839,0,0,0,0,0
0.1141679999999999,0.008005,0.002824,0.008391,-0.015215,0.012515,0,0,0,0,0
0.11417,0.0093,0.003147,0.008391,-0.014568,0.011544,0,0,0,0,0
0.114172,0.010917,0.003795,0.008068,-0.014568,0.009602,0,0,0,0,0
0.114174,0.012535,0.004442,0.008068,-0.014891,0.007337,0,0,0,0,0
0.114176,0.013829,0.004118,0.008068,-0.015215,0.005395,0,0,0,0,0
0.114178,0.014153,0.002824,0.008068,-0.015215,0.003777,0,0,0,0,0
0.1141799999999999,0.013829,0.003147,0.007744,-0.015215,0.003454,0,0,0,0,0
0.1141819999999999,0.012859,0.002824,0.008715,-0.014568,0.00313,0,0,0,0,0
0.114184,0.012211,0.004442,0.007744,-0.014245,0.003777,0,0,0,0,0
0.114186,0.010594,0.006707,0.008068,-0.013274,0.004425,0,0,0,0,0
0.114188,0.008976,0.009943,0.007744,-0.013598,0.005072,0,0,0,0,0
0.11419,0.007682,0.013179,0.007421,-0.012951,0.004748,0,0,0,0,0
0.1141919999999999,0.006388,0.016091,0.00645,-0.012304,0.003777,0,0,0,0,0
0.1141939999999999,0.005093,0.019003,0.00645,-0.012304,0.002483,0,0,0,0,0
0.1141959999999999,0.00477,0.020297,0.006127,-0.012304,0.000865,0,0,0,0,0
0.114198,0.003476,0.021268,0.005803,-0.012628,-0.000753,0,0,0,0,0
0.1142,0.002182,0.022239,0.006127,-0.012304,-0.001401,0,0,0,0,0
0.114202,0.001211,0.022239,0.006774,-0.012304,-0.003666,0,0,0,0,0
0.114204,0.00024,0.022563,0.007097,-0.012304,-0.004637,0,0,0,0,0
0.1142059999999999,-8.3218e-05,0.024181,0.007421,-0.012628,-0.005607,0,0,0,0,0
0.1142079999999999,-0.000407,0.025151,0.008068,-0.012951,-0.006902,0,0,0,0,0
0.1142099999999999,-8.3218e-05,0.025798,0.008391,-0.013274,-0.009167,0,0,0,0,0
0.114212,-0.000407,0.025798,0.009038,-0.013598,-0.009814,0,0,0,0,0
0.114214,0.00024,0.026122,0.009361,-0.014245,-0.011433,0,0,0,0,0
0.114216,-8.3218e-05,0.027093,0.010008,-0.015215,-0.011433,0,0,0,0,0
0.114218,-0.00073,0.026769,0.010332,-0.015862,-0.011433,0,0,0,0,0
0.1142199999999999,-0.001701,0.026122,0.011302,-0.016832,-0.011433,0,0,0,0,0
0.1142219999999999,-0.001701,0.026446,0.011949,-0.017802,-0.011433,0,0,0,0,0
0.1142239999999999,-0.002024,0.026769,0.012596,-0.018772,-0.011433,0,0,0,0,0
0.114226,-0.002024,0.026122,0.013243,-0.019419,-0.01208,0,0,0,0,0
0.114228,-0.001701,0.025475,0.013566,-0.020712,-0.013374,0,0,0,0,0
0.11423,-0.001054,0.025798,0.014213,-0.022653,-0.015316,0,0,0,0,0
0.114232,0.00024,0.026122,0.015184,-0.02427,-0.018228,0,0,0,0,0
0.1142339999999999,0.001858,0.025475,0.016478,-0.026857,-0.021465,0,0,0,0,0
0.1142359999999999,0.003152,0.023857,0.018095,-0.02815,-0.024053,0,0,0,0,0
0.1142379999999999,0.003799,0.023533,0.019712,-0.029767,-0.026966,0,0,0,0,0
0.11424,0.004123,0.021592,0.021006,-0.031061,-0.029879,0,0,0,0,0
0.114242,0.003799,0.019003,0.022623,-0.030738,-0.031497,0,0,0,0,0
0.114244,0.003152,0.017385,0.023594,-0.030738,-0.032144,0,0,0,0,0
0.114246,0.002505,0.017062,0.024241,-0.030738,-0.033115,0,0,0,0,0
0.1142479999999999,0.001858,0.017062,0.025211,-0.029444,-0.033438,0,0,0,0,0
0.1142499999999999,0.002182,0.018032,0.025858,-0.028797,-0.035056,0,0,0,0,0
0.1142519999999999,0.003152,0.018032,0.026181,-0.028474,-0.036351,0,0,0,0,0
0.114254,0.00477,0.017385,0.026505,-0.027504,-0.038616,0,0,0,0,0
0.114256,0.005741,0.013826,0.027152,-0.026857,-0.039587,0,0,0,0,0
0.114258,0.007035,0.009943,0.027799,-0.025563,-0.040558,0,0,0,0,0
0.11426,0.007035,0.006383,0.028446,-0.02427,-0.040558,0,0,0,0,0
0.1142619999999999,0.007035,0.001206,0.028446,-0.022653,-0.040234,0,0,0,0,0
0.1142639999999999,0.007035,-0.003324,0.028769,-0.021036,-0.039911,0,0,0,0,0
0.1142659999999999,0.006388,-0.006884,0.029739,-0.019095,-0.03894,0,0,0,0,0
0.114268,0.006711,-0.01012,0.030386,-0.017155,-0.03894,0,0,0,0,0
0.11427,0.007035,-0.012061,0.031357,-0.015538,-0.03894,0,0,0,0,0
0.114272,0.008329,-0.014003,0.032327,-0.013921,-0.039587,0,0,0,0,0
0.114274,0.008976,-0.015944,0.032651,-0.012304,-0.039911,0,0,0,0,0
0.1142759999999999,0.01027,-0.017562,0.032974,-0.011334,-0.039911,0,0,0,0,0
0.1142779999999999,0.011241,-0.019827,0.032974,-0.009717,-0.039263,0,0,0,0,0
0.1142799999999999,0.012535,-0.021445,0.033298,-0.0081,-0.037969,0,0,0,0,0
0.114282,0.012535,-0.023387,0.032327,-0.00713,-0.036351,0,0,0,0,0
0.114284,0.013182,-0.024034,0.03168,-0.005836,-0.034409,0,0,0,0,0
0.114286,0.013506,-0.024357,0.030063,-0.00519,-0.031497,0,0,0,0,0
0.114288,0.013182,-0.02371,0.028446,-0.00422,-0.028908,0,0,0,0,0
0.1142899999999999,0.013829,-0.02371,0.026181,-0.00422,-0.025995,0,0,0,0,0
0.1142919999999999,0.014153,-0.023063,0.024241,-0.004543,-0.02373,0,0,0,0,0
0.1142939999999999,0.0148,-0.021445,0.0223,-0.00519,-0.021465,0,0,0,0,0
